model,word,repeat,raw_response,extracted_probability,timestamp,thread_id,retry_count
google/gemini-2.5-flash-lite-preview-06-17,Very Good Chance,3,0.9,0.9,2025-09-10T09:20:38.868959,Worker-9,0
google/gemini-2.5-flash-lite-preview-06-17,We Believe,1,0.75,0.75,2025-09-10T09:20:38.961641,Worker-10,0
google/gemini-2.5-flash-lite-preview-06-17,Probably,1,0.75,0.75,2025-09-10T09:20:38.969083,Worker-19,0
google/gemini-2.5-flash-lite-preview-06-17,Highly Likely,2,0.9,0.9,2025-09-10T09:20:38.983292,Worker-5,0
google/gemini-2.5-flash-lite-preview-06-17,Highly Likely,3,0.9,0.9,2025-09-10T09:20:38.991812,Worker-6,0
google/gemini-2.5-flash-lite-preview-06-17,Probable,3,0.75,0.75,2025-09-10T09:20:39.013359,Worker-18,0
google/gemini-2.5-flash-lite-preview-06-17,Almost Certain,3,0.95,0.95,2025-09-10T09:20:39.023856,Worker-3,0
google/gemini-2.5-flash-lite-preview-06-17,Likely,1,0.75,0.75,2025-09-10T09:20:39.030753,Worker-13,0
google/gemini-2.5-flash-lite-preview-06-17,Very Good Chance,2,0.9,0.9,2025-09-10T09:20:39.038203,Worker-8,0
google/gemini-2.5-flash-lite-preview-06-17,Probably,2,0.75,0.75,2025-09-10T09:20:39.060885,Worker-20,0
google/gemini-2.5-flash-lite-preview-06-17,Likely,3,0.75,0.75,2025-09-10T09:20:39.084657,Worker-15,0
google/gemini-2.5-flash-lite-preview-06-17,Very Good Chance,1,0.85,0.85,2025-09-10T09:20:39.088605,Worker-7,0
google/gemini-2.5-flash-lite-preview-06-17,Probable,1,0.8,0.8,2025-09-10T09:20:39.098668,Worker-16,0
google/gemini-2.5-flash-lite-preview-06-17,Highly Likely,1,0.9,0.9,2025-09-10T09:20:39.101211,Worker-4,0
google/gemini-2.5-flash-lite-preview-06-17,Almost Certain,2,0.99,0.99,2025-09-10T09:20:39.133799,Worker-2,0
google/gemini-2.5-flash-lite-preview-06-17,Probable,2,0.75,0.75,2025-09-10T09:20:39.185420,Worker-17,0
google/gemini-2.5-flash-lite-preview-06-17,Likely,2,0.75,0.75,2025-09-10T09:20:39.265137,Worker-14,0
google/gemini-2.5-flash-lite-preview-06-17,We Believe,2,0.8,0.8,2025-09-10T09:20:39.299763,Worker-11,0
google/gemini-2.5-flash-lite-preview-06-17,Probably,3,0.75,0.75,2025-09-10T09:20:39.643391,Worker-9,0
google/gemini-2.5-flash-lite-preview-06-17,We Believe,3,0.9,0.9,2025-09-10T09:20:39.688459,Worker-12,0
google/gemini-2.5-flash-lite-preview-06-17,Better than Even,1,0.65,0.65,2025-09-10T09:20:39.692700,Worker-10,0
google/gemini-2.5-flash-lite-preview-06-17,Almost Certain,1,0.95,0.95,2025-09-10T09:20:39.702900,Worker-1,0
google/gemini-2.5-flash-lite-preview-06-17,Better than Even,3,0.65,0.65,2025-09-10T09:20:39.707236,Worker-5,0
google/gemini-2.5-flash-lite-preview-06-17,About Even,2,0.5,0.5,2025-09-10T09:20:39.864528,Worker-18,0
google/gemini-2.5-flash-lite-preview-06-17,About Even,3,0.5,0.5,2025-09-10T09:20:39.868085,Worker-3,0
google/gemini-2.5-flash-lite-preview-06-17,Probably Not,2,0.2,0.2,2025-09-10T09:20:39.874846,Worker-8,0
google/gemini-2.5-flash-lite-preview-06-17,Probably Not,1,0.2,0.2,2025-09-10T09:20:39.879695,Worker-13,0
google/gemini-2.5-flash-lite-preview-06-17,About Even,1,0.5,0.5,2025-09-10T09:20:39.883257,Worker-6,0
google/gemini-2.5-flash-lite-preview-06-17,We Doubt,1,0.25,0.25,2025-09-10T09:20:39.888203,Worker-15,0
google/gemini-2.5-flash-lite-preview-06-17,Unlikely,1,0.2,0.2,2025-09-10T09:20:39.890006,Worker-4,0
google/gemini-2.5-flash-lite-preview-06-17,Unlikely,3,0.15,0.15,2025-09-10T09:20:39.928034,Worker-17,0
google/gemini-2.5-flash-lite-preview-06-17,We Doubt,2,0.25,0.25,2025-09-10T09:20:39.954870,Worker-7,0
google/gemini-2.5-flash-lite-preview-06-17,We Doubt,3,0.25,0.25,2025-09-10T09:20:39.979360,Worker-16,0
google/gemini-2.5-flash-lite-preview-06-17,Improbable,1,0.1,0.1,2025-09-10T09:20:40.006190,Worker-14,0
google/gemini-2.5-flash-lite-preview-06-17,Better than Even,2,0.7,0.7,2025-09-10T09:20:40.026590,Worker-19,0
google/gemini-2.5-flash-lite-preview-06-17,Probably Not,3,0.25,0.25,2025-09-10T09:20:40.046625,Worker-20,0
google/gemini-2.5-flash-lite-preview-06-17,Improbable,2,0.1,0.1,2025-09-10T09:20:40.074302,Worker-11,0
google/gemini-2.5-flash-lite-preview-06-17,Improbable,3,0.15,0.15,2025-09-10T09:20:40.313038,Worker-9,0
google/gemini-2.5-flash-lite-preview-06-17,Little Chance,1,0.1,0.1,2025-09-10T09:20:40.342787,Worker-5,0
