model,word,repeat,raw_response,extracted_probability,timestamp,thread_id,retry_count
google/gemini-2.5-flash-lite-preview-06-17,A good chance,3,0.75,0.75,2025-09-10T09:54:52.347306,Worker-18,0
google/gemini-2.5-flash-lite-preview-06-17,A good chance,5,0.75,0.75,2025-09-10T09:54:52.351428,Worker-20,0
google/gemini-2.5-flash-lite-preview-06-17,Almost certain,1,0.95,0.95,2025-09-10T09:54:52.360183,Worker-6,0
google/gemini-2.5-flash-lite-preview-06-17,Highly probable,4,0.9,0.9,2025-09-10T09:54:52.363321,Worker-14,0
google/gemini-2.5-flash-lite-preview-06-17,Highly probable,3,0.9,0.9,2025-09-10T09:54:52.414691,Worker-13,0
google/gemini-2.5-flash-lite-preview-06-17,Definite,5,1.0,1.0,2025-09-10T09:54:52.419177,Worker-5,0
google/gemini-2.5-flash-lite-preview-06-17,Almost certain,5,0.95,0.95,2025-09-10T09:54:52.425166,Worker-10,0
google/gemini-2.5-flash-lite-preview-06-17,Definite,1,1.0,1.0,2025-09-10T09:54:52.460416,Worker-1,0
google/gemini-2.5-flash-lite-preview-06-17,Almost certain,3,0.95,0.95,2025-09-10T09:54:52.502524,Worker-8,0
google/gemini-2.5-flash-lite-preview-06-17,A good chance,2,0.75,0.75,2025-09-10T09:54:52.507119,Worker-17,0
google/gemini-2.5-flash-lite-preview-06-17,Definite,3,1.0,1.0,2025-09-10T09:54:52.552988,Worker-3,0
google/gemini-2.5-flash-lite-preview-06-17,Definite,4,1.0,1.0,2025-09-10T09:54:52.588753,Worker-4,0
google/gemini-2.5-flash-lite-preview-06-17,Highly probable,1,0.9,0.9,2025-09-10T09:54:52.595630,Worker-11,0
google/gemini-2.5-flash-lite-preview-06-17,Almost certain,4,0.95,0.95,2025-09-10T09:54:52.605946,Worker-9,0
google/gemini-2.5-flash-lite-preview-06-17,Highly probable,5,0.9,0.9,2025-09-10T09:54:52.615895,Worker-15,0
google/gemini-2.5-flash-lite-preview-06-17,A good chance,1,0.75,0.75,2025-09-10T09:54:52.633296,Worker-16,0
google/gemini-2.5-flash-lite-preview-06-17,Almost certain,2,0.95,0.95,2025-09-10T09:54:52.643428,Worker-7,0
google/gemini-2.5-flash-lite-preview-06-17,Highly probable,2,0.9,0.9,2025-09-10T09:54:52.657996,Worker-12,0
google/gemini-2.5-flash-lite-preview-06-17,A good chance,4,0.75,0.75,2025-09-10T09:54:52.719234,Worker-19,0
google/gemini-2.5-flash-lite-preview-06-17,Definite,2,1.0,1.0,2025-09-10T09:54:52.826439,Worker-2,0
google/gemini-2.5-flash-lite-preview-06-17,Likely,4,0.7,0.7,2025-09-10T09:54:52.935494,Worker-14,0
google/gemini-2.5-flash-lite-preview-06-17,Quite likely,1,0.8,0.8,2025-09-10T09:54:53.035302,Worker-5,0
google/gemini-2.5-flash-lite-preview-06-17,Likely,1,0.75,0.75,2025-09-10T09:54:53.098484,Worker-18,0
